,Protein_Group,Protein_Ids,Protein_Names,Genes,First_Protein_Description,Peptides,Q331K_M1,Q331K_M2,WT_M3,WT_M4
637,Q9ESZ8;Q9ESZ8-2;Q9ESZ8-3;Q9ESZ8-4;Q9ESZ8-5;Q9ESZ8-6,Q9ESZ8;G3UYD0;G3UYJ6;Q3UHU8;Q9ESZ8-2;Q9ESZ8-3;Q9ESZ8-4;Q9ESZ8-5;Q9ESZ8-6,GTF2I-2_MOUSE;GTF2I-3_MOUSE;GTF2I-4_MOUSE;GTF2I-5_MOUSE;GTF2I-6_MOUSE;GTF2I_MOUSE,Gtf2i,General transcription factor II-I,5,213179.0,275168.0,0.0,249217.0
638,Q9JHU4,Q9JHU4,DYHC1_MOUSE,Dync1h1,Cytoplasmic dynein 1 heavy chain 1,38,332206.0,245602.0,197156.0,142553.0
639,Q9JIA1,Q9JIA1;A0A0G2JGB7;A0A0G2JGE8,LGI1_MOUSE,Lgi1,Leucine-rich glioma-inactivated protein 1,3,85927.1,0.0,0.0,0.0
640,Q9JII5;Q9JII5-2,Q9JII5;Q3UGB5;Q9JII5-2,DAZP1-2_MOUSE;DAZP1_MOUSE,Dazap1,DAZ-associated protein 1,2,39737.8,95665.0,0.0,84872.6
641,Q9JIS5,Q9JIS5,SV2A_MOUSE,Sv2a,Synaptic vesicle glycoprotein 2A,8,782809.0,656748.0,419218.0,363459.0
642,Q9JIX8;Q9JIX8-4,Q9JIX8;F6RJ39;Q9JIX8-4,ACINU-4_MOUSE;ACINU_MOUSE,Acin1,Apoptotic chromatin condensation inducer in the nucleus,2,131439.0,112167.0,44800.3,165256.0
643,Q9JJV2;Q9JJV2-3,Q9JJV2;Q9JJV2-3,PROF2-3_MOUSE;PROF2_MOUSE,Pfn2,Profilin-2,2,249135.0,334998.0,127862.0,168279.0
644,Q9JJZ2,Q9JJZ2,TBA8_MOUSE,Tuba8,Tubulin alpha-8 chain,1,223342.0,0.0,0.0,0.0
645,Q9JKC6,Q9JKC6,CEND_MOUSE,Cend1,Cell cycle exit and neuronal differentiation protein 1,3,271665.0,367155.0,70402.5,140103.0
646,Q9JLF6,Q9JLF6;A0A0R4J293,TGM1_MOUSE,Tgm1,Protein-glutamine gamma-glutamyltransferase K,5,119557.0,112646.0,121526.0,230920.0
647,Q9JLI8,Q9JLI8;Q9JLI8-2,SART3_MOUSE,Sart3,Squamous cell carcinoma antigen recognized by T-cells 3,6,233946.0,329241.0,75133.4,331805.0
648,Q9JLM8,Q9JLM8;A0A0G2JGQ6;Q80VB6;Q9JLM8-2,DCLK1_MOUSE,Dclk1,Serine/threonine-protein kinase DCLK1,10,538813.0,552095.0,351639.0,324497.0
649,Q9JM52;Q9JM52-2;Q9JM52-3,P83510;P97820;Q9JM52;A0A0A6YW53;A0A0A6YWM8;A0A0A6YWR8;B2RQ80;B2RUE8;B7ZNR9;B9EKN8;E0CXD6;E0CY98;E0CZD7;E0CZF8;E9PUL9;E9PVG7;F7AMS7;F8VPL5;G3X9G2;P83510-2;Q5SXG1;Q5SXG3;Q9JM52-2;Q9JM52-3,MINK1-2_MOUSE;MINK1-3_MOUSE;MINK1_MOUSE,Mink1,Misshapen-like kinase 1,2,208804.0,203228.0,0.0,0.0
650,Q9JM93,Q9JM93;D3YWC2;D3Z6F1,AR6P4_MOUSE,Arl6ip4,ADP-ribosylation factor-like protein 6-interacting protein 4,7,396249.0,471114.0,565161.0,340786.0
651,Q9JMD0;Q9JMD0-2;Q9JMD0-3;Q9JMD0-4,Q9JMD0;M0QWF0;Q9JMD0-2;Q9JMD0-3;Q9JMD0-4,ZN207-2_MOUSE;ZN207-3_MOUSE;ZN207-4_MOUSE;ZN207_MOUSE,Znf207,BUB3-interacting and GLEBS motif-containing protein ZNF207,2,310277.0,356443.0,0.0,450178.0
652,Q9JME5,Q9JME5;A0A571BES1;A0A571BEW4,AP3B2_MOUSE,Ap3b2,AP-3 complex subunit beta-2,10,315845.0,331936.0,183832.0,267518.0
653,Q9JMG7;Q9JMG7-2,P51859;Q3UMU9;Q99JF8;Q9JMG7;A2BI12;F6RB63;Q3UMU9-2;Q3UMU9-3;Q3UMU9-4;Q99JF8-2;Q9JMG7-2,HDGR3-2_MOUSE;HDGR3_MOUSE,Hdgfl3,Hepatoma-derived growth factor-related protein 3,2,160582.0,144315.0,186452.0,220291.0
654,Q9QUI0,Q62159;Q9CR99;Q9QUI0;A0A0A6YWJ1;A0A0A6YXF6;A0A0G2JEP8;H3BL56,RHOA_MOUSE,Rhoa,Transforming protein RhoA,2,328511.0,305520.0,345361.0,174357.0
655,Q9QUM9,Q9QUM9,PSA6_MOUSE,Psma6,Proteasome subunit alpha type-6,2,57841.3,63750.0,85009.4,127824.0
656,Q9QVP9,Q9QVP9;E9Q2A6;F7CCX1;Q3UDE9,FAK2_MOUSE,Ptk2b,Protein-tyrosine kinase 2-beta,6,303542.0,182657.0,185158.0,98503.3
657,Q9QWI6;Q9QWI6-2,Q9QWI6;A0A571BDG0;A0A571BDG6;A0A571BG20;B1AQX6;B1AQX7;B1AQX9;Q9QWI6-2;Q9QWI6-3,SRCN1-2_MOUSE;SRCN1_MOUSE,Srcin1,SRC kinase signaling inhibitor 1,26,286155.0,609070.0,132493.0,339475.0
658,Q9QWY8;Q9QWY8-2;Q9QWY8-3;Q9QWY8-4,Q9QWY8;E9QMI7;E9QMJ1;E9QN63;H3BJY2;H3BKD4;H3BKE6;H3BL41;Q9QWY8-2;Q9QWY8-3;Q9QWY8-4,ASAP1-2_MOUSE;ASAP1-3_MOUSE;ASAP1-4_MOUSE;ASAP1_MOUSE,Asap1,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1",1,68260.0,65581.8,0.0,0.0
659,Q9QX47;Q9QX47-2;Q9QX47-3;Q9QX47-4,Q9QX47;H9KV00;H9KV01;H9KV15;Q9QX47-2;Q9QX47-3;Q9QX47-4,SON-2_MOUSE;SON-3_MOUSE;SON-4_MOUSE;SON_MOUSE,Son,Protein SON,9,395483.0,236942.0,0.0,307277.0
660,Q9QXL2;Q9QXL2-2;Q9QXL2-3;Q9QXL2-4,Q9QXL2;E9Q0J5;F8WGN6;Q9QXL2-2;Q9QXL2-3;Q9QXL2-4,KI21A-2_MOUSE;KI21A-3_MOUSE;KI21A-4_MOUSE;KI21A_MOUSE,Kif21a,Kinesin-like protein KIF21A,2,25347.2,32981.4,0.0,62660.4
661,Q9QXS1;Q9QXS1-10;Q9QXS1-11;Q9QXS1-12;Q9QXS1-13;Q9QXS1-14;Q9QXS1-15;Q9QXS1-16;Q9QXS1-2;Q9QXS1-3;Q9QXS1-4;Q9QXS1-5;Q9QXS1-6;Q9QXS1-7;Q9QXS1-8;Q9QXS1-9,Q9QXS1;E9Q3W4;Q9QXS1-10;Q9QXS1-11;Q9QXS1-12;Q9QXS1-13;Q9QXS1-14;Q9QXS1-15;Q9QXS1-16;Q9QXS1-2;Q9QXS1-3;Q9QXS1-4;Q9QXS1-5;Q9QXS1-6;Q9QXS1-7;Q9QXS1-8;Q9QXS1-9,PLEC-10_MOUSE;PLEC-11_MOUSE;PLEC-12_MOUSE;PLEC-13_MOUSE;PLEC-14_MOUSE;PLEC-15_MOUSE;PLEC-16_MOUSE;PLEC-2_MOUSE;PLEC-3_MOUSE;PLEC-4_MOUSE;PLEC-5_MOUSE;PLEC-6_MOUSE;PLEC-7_MOUSE;PLEC-8_MOUSE;PLEC-9_MOUSE;PLEC_MOUSE,Plec,Plectin,6,139131.0,158692.0,0.0,154791.0
662,Q9QYC0;Q9QYC0-2,Q9QYC0;E9Q1K3;F8WGR0;F8WHZ9;Q9QYC0-2,ADDA-2_MOUSE;ADDA_MOUSE,Add1,Alpha-adducin,2,139784.0,86335.4,45071.1,98767.4
663,Q9QYR6;Q9QYR6-2,Q9QYR6;A2ARP8;Q9QYR6-2,MAP1A-2_MOUSE;MAP1A_MOUSE,Map1a,Microtubule-associated protein 1A,59,2156660.0,3101550.0,794964.0,2085240.0
664,Q9QYS2,Q9QYS2,GRM3_MOUSE,Grm3,Metabotropic glutamate receptor 3,3,293119.0,147788.0,114490.0,41734.5
665,Q9QYX7,Q9QYX7;Q9QYX7-2,PCLO_MOUSE,Pclo,Protein piccolo,31,316057.0,611697.0,0.0,191074.0
666,Q9QZ41;Q9QZ41-2;Q9QZ41-3,Q9QZ41;E9PW04;Q9QZ41-2;Q9QZ41-3,DBF4A-2_MOUSE;DBF4A-3_MOUSE;DBF4A_MOUSE,Dbf4,Protein DBF4 homolog A,1,0.0,158846.0,0.0,109814.0
667,Q9QZQ1;Q9QZQ1-2,Q9QZQ1;D3YUD2;D3Z7L2;E9PYX7;E9Q852;E9Q9C3;Q9QZQ1-2,AFAD-2_MOUSE;AFAD_MOUSE,Afdn,Afadin,1,36069.4,32600.0,16861.7,38168.0
668,Q9R020,Q9R020;D3Z4U0;E9PUD0;Q9R020-2,ZRAB2_MOUSE,Zranb2,Zinc finger Ran-binding domain-containing protein 2,5,204814.0,220706.0,114651.0,211156.0
669,Q9R0B7,Q9R0B7;E9PYN2,ZN346_MOUSE,Znf346,Zinc finger protein 346,1,28397.4,0.0,0.0,64185.6
670,Q9R0I7,Q9R0I7;D3YWX2;E9Q803;F6YTL8,YLPM1_MOUSE,Ylpm1,YLP motif-containing protein 1,15,444042.0,504179.0,128943.0,446962.0
671,Q9R0K7,Q9R0K7;F8WHB1;Q3UHH0;S4R1C4,AT2B2_MOUSE,Atp2b2,Plasma membrane calcium-transporting ATPase 2,13,573824.0,396615.0,303227.0,197264.0
672,Q9R0P4,Q9R0P4;A0A0U1RPI0;A0A0U1RPJ7;D3YVR9;D6RI64,SMAP_MOUSE,Smap,Small acidic protein,2,118594.0,187314.0,0.0,161683.0
673,Q9R0P5,Q9R0P5,DEST_MOUSE,Dstn,Destrin,1,98492.1,112809.0,72509.6,63680.3
674,Q9R0U0;Q9R0U0-2;Q9R0U0-3,Q9R0U0;A3KG57;Q3TFP0;Q9R0U0-2;Q9R0U0-3,SRS10-2_MOUSE;SRS10-3_MOUSE;SRS10_MOUSE,Srsf10,Serine/arginine-rich splicing factor 10,1,130713.0,102861.0,0.0,295489.0
675,Q9R0Y5;Q9R0Y5-2,Q9R0Y5;Q9R0Y5-2;Z4YN97,KAD1-2_MOUSE;KAD1_MOUSE,Ak1,Adenylate kinase isoenzyme 1,1,218231.0,0.0,0.0,63662.6
676,Q9R1C7;Q9R1C7-2,Q9R1C7;A0A1B0GRU8;Q9R1C7-2,PR40A-2_MOUSE;PR40A_MOUSE,Prpf40a,Pre-mRNA-processing factor 40 homolog A,2,122527.0,91960.6,52957.7,136125.0
677,Q9R1P4,Q9R1P4;A0A1B0GS70,PSA1_MOUSE,Psma1,Proteasome subunit alpha type-1,2,64274.4,84876.1,38841.6,160339.0
678,Q9R1R2,Q9R1R2;D3Z7V9;Q3TDT0,TRIM3_MOUSE,Trim3,Tripartite motif-containing protein 3,1,0.0,51296.1,0.0,0.0
679,Q9R1V6;Q9R1V6-1;Q9R1V6-10;Q9R1V6-11;Q9R1V6-12;Q9R1V6-13;Q9R1V6-14;Q9R1V6-15;Q9R1V6-16;Q9R1V6-17;Q9R1V6-18;Q9R1V6-19;Q9R1V6-2;Q9R1V6-20;Q9R1V6-21;Q9R1V6-4;Q9R1V6-5;Q9R1V6-6;Q9R1V6-7;Q9R1V6-8;Q9R1V6-9,Q9R1V6;D3YUP9;D3YUQ0;Q9R1V6-1;Q9R1V6-10;Q9R1V6-11;Q9R1V6-12;Q9R1V6-13;Q9R1V6-14;Q9R1V6-15;Q9R1V6-16;Q9R1V6-17;Q9R1V6-18;Q9R1V6-19;Q9R1V6-2;Q9R1V6-20;Q9R1V6-21;Q9R1V6-4;Q9R1V6-5;Q9R1V6-6;Q9R1V6-7;Q9R1V6-8;Q9R1V6-9,ADA22-10_MOUSE;ADA22-11_MOUSE;ADA22-12_MOUSE;ADA22-13_MOUSE;ADA22-14_MOUSE;ADA22-15_MOUSE;ADA22-16_MOUSE;ADA22-17_MOUSE;ADA22-18_MOUSE;ADA22-19_MOUSE;ADA22-1_MOUSE;ADA22-20_MOUSE;ADA22-21_MOUSE;ADA22-2_MOUSE;ADA22-4_MOUSE;ADA22-5_MOUSE;ADA22-6_MOUSE;ADA22-7_MOUSE;ADA22-8_MOUSE;ADA22-9_MOUSE;ADA22_MOUSE,Adam22,Disintegrin and metalloproteinase domain-containing protein 22,2,0.0,71083.7,0.0,57696.5
680,Q9R226,Q9R226;A0A2R8VHM1,KHDR3_MOUSE,Khdrbs3,"KH domain-containing, RNA-binding, signal transduction-associated protein 3",1,105085.0,160102.0,0.0,128817.0
681,Q9WTL4,Q9WTL4,INSRR_MOUSE,Insrr,Insulin receptor-related protein,2,632910.0,1125690.0,812197.0,4070110.0
682,Q9WTL7,Q9WTL7,LYPA2_MOUSE,Lypla2,Acyl-protein thioesterase 2,8,1554930.0,1489050.0,474372.0,1371540.0
683,Q9WU42;Q9WU42-2,Q9WU42;D3Z2J5;E9PY55;E9Q701;E9Q9V3;F6Z4B2;F8VQL9;Q9WU42-2,NCOR2-2_MOUSE;NCOR2_MOUSE,Ncor2,Nuclear receptor corepressor 2,4,80030.2,73413.0,0.0,77290.3
684,Q9WUB3,Q9WUB3;E9PUM3,PYGM_MOUSE,Pygm,"Glycogen phosphorylase, muscle form",1,0.0,72551.1,49659.5,0.0
685,Q9WUM4,Q9WUM4,COR1C_MOUSE,Coro1c,Coronin-1C,1,0.0,53895.2,0.0,0.0
686,Q9WUM5,Q9WUM5,SUCA_MOUSE,Suclg1,"Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial",1,197377.0,159743.0,156955.0,130523.0
687,Q9WV02,A0A2I3BRL8;Q91VM5;Q9WV02;S4R1F6,RBMX_MOUSE,Rbmx,"RNA-binding motif protein, X chromosome",6,517426.0,442909.0,327520.0,641870.0
688,Q9WV69;Q9WV69-2;Q9WV69-3;Q9WV69-4,Q9WV69;Q9WV69-2;Q9WV69-3;Q9WV69-4,DEMA-2_MOUSE;DEMA-3_MOUSE;DEMA-4_MOUSE;DEMA_MOUSE,Dmtn,Dematin,2,481511.0,499526.0,267196.0,403607.0
689,Q9WV92;Q9WV92-2;Q9WV92-3;Q9WV92-4;Q9WV92-5;Q9WV92-6;Q9WV92-8,Q9WV92;A0A286YCT6;A0A286YCY1;A0A286YD84;A0A286YDY4;A0A3B2WBE1;A0A3B2WD96;A0A5F8MPE1;A0A5F8MPR1;A7YY80;D0VYV6;Q9WV92-2;Q9WV92-3;Q9WV92-4;Q9WV92-5;Q9WV92-6;Q9WV92-7;Q9WV92-8,E41L3-2_MOUSE;E41L3-3_MOUSE;E41L3-4_MOUSE;E41L3-5_MOUSE;E41L3-6_MOUSE;E41L3-8_MOUSE;E41L3_MOUSE,Epb41l3,Band 4.1-like protein 3,7,213581.0,328496.0,115296.0,248071.0
690,Q9WVA3,Q9WVA3;A0A140LHA2,BUB3_MOUSE,Bub3,Mitotic checkpoint protein BUB3,2,112829.0,127533.0,0.0,88232.0
691,Q9Z0E0;Q9Z0E0-2,Q9Z0E0;Q9Z0E0-2,NCDN-2_MOUSE;NCDN_MOUSE,Ncdn,Neurochondrin,3,124964.0,149060.0,108657.0,116716.0
692,Q9Z0H4;Q9Z0H4-11;Q9Z0H4-2;Q9Z0H4-4;Q9Z0H4-5;Q9Z0H4-6;Q9Z0H4-7;Q9Z0H4-8;Q9Z0H4-9,Q9Z0H4;A0A0R4J2B0;E9QA47;Q9Z0H4-11;Q9Z0H4-2;Q9Z0H4-4;Q9Z0H4-5;Q9Z0H4-6;Q9Z0H4-7;Q9Z0H4-8;Q9Z0H4-9;S4R1S7;S4R2S7;S4R2U7;V9GX43,CELF2-11_MOUSE;CELF2-2_MOUSE;CELF2-4_MOUSE;CELF2-5_MOUSE;CELF2-6_MOUSE;CELF2-7_MOUSE;CELF2-8_MOUSE;CELF2-9_MOUSE;CELF2_MOUSE,Celf2,CUGBP Elav-like family member 2,13,4215640.0,3616060.0,524358.0,3924240.0
693,Q9Z0P4;Q9Z0P4-2,Q9Z0P4;Q3UZP7;Q9Z0P4-2,PALM-2_MOUSE;PALM_MOUSE,Palm,Paralemmin-1,2,238355.0,294774.0,0.0,550323.0
694,Q9Z0R4;Q9Z0R4-2,Q9Z0R4;E9Q0N0;E9Q3I4;E9Q3I5;E9Q3I8;E9Q3I9;Q6NZJ5;Q9Z0R4-2,ITSN1-2_MOUSE;ITSN1_MOUSE,Itsn1,Intersectin-1,1,0.0,89677.3,0.0,0.0
695,Q9Z130,Q9Z130;D3YTQ3;F6VQH5,HNRDL_MOUSE,Hnrnpdl,Heterogeneous nuclear ribonucleoprotein D-like,1,247051.0,190551.0,0.0,263891.0
696,Q9Z1S5;Q9Z1S5-2,Q9Z1S5;A0A2R8VHR7;A0A2R8W6V9;A0A571BE69;A0A5F8MPL6;Q9Z1S5-2,SEPT3-2_MOUSE;SEPT3_MOUSE,Septin3,Neuronal-specific septin-3,3,177734.0,334154.0,0.0,177689.0
697,Q9Z1W9,Q9Z1W9,STK39_MOUSE,Stk39,STE20/SPS1-related proline-alanine-rich protein kinase,1,58731.4,46214.2,54295.0,0.0
698,Q9Z1X4;Q9Z1X4-2;Q9Z1X4-3,Q9Z1X4;A0A1L1STE4;Q45VK5;Q9Z1X4-2;Q9Z1X4-3,ILF3-2_MOUSE;ILF3-3_MOUSE;ILF3_MOUSE,Ilf3,Interleukin enhancer-binding factor 3,10,397847.0,296934.0,0.0,465074.0
699,Q9Z2H5,Q9Z2H5;A2AUK5;A2AUK7;A2AUK8;E9PV14;Q9Z2H5-2;Q9Z2H5-3,E41L1_MOUSE,Epb41l1,Band 4.1-like protein 1,11,333055.0,563516.0,81583.0,267195.0
700,Q9Z2I9,Q9Z2I9,SUCB1_MOUSE,Sucla2,"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial",9,210133.0,148736.0,157282.0,95747.6
701,Q9Z2Q6,Q9Z2Q6;A0A338P6R8;A0A338P729;A0A338P769;B7ZNM7,SEPT5_MOUSE,Septin5,Septin-5,3,125516.0,296648.0,55345.4,165513.0
702,Q9Z2U0,Q9CWH6;Q9Z2U0;A0A338P7D7;B7ZMS4,PSA7_MOUSE,Psma7,Proteasome subunit alpha type-7,3,152394.0,235136.0,173954.0,217646.0
703,Q9Z2X1;Q9Z2X1-2,O35737;P70333;Q9Z2X1;Q8C2Q7;Q9Z2X1-2,HNRPF-2_MOUSE;HNRPF_MOUSE,Hnrnpf,Heterogeneous nuclear ribonucleoprotein F,8,469547.0,682638.0,708219.0,738637.0
704,Q9Z2Y3;Q9Z2Y3-2;Q9Z2Y3-3,Q9Z2Y3;D3Z6A7;E9Q0I7;E9Q0I8;Q9Z2Y3-2;Q9Z2Y3-3,HOME1-2_MOUSE;HOME1-3_MOUSE;HOME1_MOUSE,Homer1,Homer protein homolog 1,1,54228.3,81897.7,0.0,0.0
705,Q9Z351;Q9Z351-10;Q9Z351-11;Q9Z351-12;Q9Z351-13;Q9Z351-2;Q9Z351-3;Q9Z351-4;Q9Z351-5;Q9Z351-6;Q9Z351-7;Q9Z351-8;Q9Z351-9,Q9Z351;A0A0G2JFQ2;B7ZBV4;B7ZBV5;B7ZBV6;B7ZBV7;B7ZBV8;B7ZBV9;B7ZBW1;B7ZBW2;Q9Z351-10;Q9Z351-11;Q9Z351-12;Q9Z351-13;Q9Z351-2;Q9Z351-3;Q9Z351-4;Q9Z351-5;Q9Z351-6;Q9Z351-7;Q9Z351-8;Q9Z351-9,KCNQ2-10_MOUSE;KCNQ2-11_MOUSE;KCNQ2-12_MOUSE;KCNQ2-13_MOUSE;KCNQ2-2_MOUSE;KCNQ2-3_MOUSE;KCNQ2-4_MOUSE;KCNQ2-5_MOUSE;KCNQ2-6_MOUSE;KCNQ2-7_MOUSE;KCNQ2-8_MOUSE;KCNQ2-9_MOUSE;KCNQ2_MOUSE,Kcnq2,Potassium voltage-gated channel subfamily KQT member 2,2,169731.0,300124.0,0.0,200123.0
706,S4R1W5,S4R1W5;Q3ULB0,S4R1W5_MOUSE,Rbm6,RNA-binding motif protein 6,7,187586.0,241245.0,0.0,176187.0
